Borough_Name,Code,Crime_type,Year,Month,No_of_crimes
BARKING AND DAGENHAM,E09000002,Property_Crimes,2012,1,760
BARNET,E09000003,Property_Crimes,2012,1,1211
BEXLEY,E09000004,Property_Crimes,2012,1,486
BRENT,E09000005,Property_Crimes,2012,1,1199
BROMLEY,E09000006,Property_Crimes,2012,1,1007
CAMDEN,E09000007,Property_Crimes,2012,1,1622
CROYDON,E09000008,Property_Crimes,2012,1,1686
EALING,E09000009,Property_Crimes,2012,1,1479
ENFIELD,E09000010,Property_Crimes,2012,1,868
GREENWICH,E09000011,Property_Crimes,2012,1,858
HACKNEY,E09000012,Property_Crimes,2012,1,1223
HAMMERSMITH AND FULHAM,E09000013,Property_Crimes,2012,1,1001
HARINGEY,E09000014,Property_Crimes,2012,1,1214
HARROW,E09000015,Property_Crimes,2012,1,663
HAVERING,E09000016,Property_Crimes,2012,1,776
HILLINGDON,E09000017,Property_Crimes,2012,1,1176
HOUNSLOW,E09000018,Property_Crimes,2012,1,1210
ISLINGTON,E09000019,Property_Crimes,2012,1,1157
KENSINGTON AND CHELSEA,E09000020,Property_Crimes,2012,1,1249
KINGSTON UPON THAMES,E09000021,Property_Crimes,2012,1,500
LAMBETH,E09000022,Property_Crimes,2012,1,1735
LEWISHAM,E09000023,Property_Crimes,2012,1,1125
MERTON,E09000024,Property_Crimes,2012,1,585
NEWHAM,E09000025,Property_Crimes,2012,1,1277
REDBRIDGE,E09000026,Property_Crimes,2012,1,1092
RICHMOND UPON THAMES,E09000027,Property_Crimes,2012,1,560
SOUTHWARK,E09000028,Property_Crimes,2012,1,1333
SUTTON,E09000029,Property_Crimes,2012,1,452
TOWER HAMLETS,E09000030,Property_Crimes,2012,1,1015
WALTHAM FOREST,E09000031,Property_Crimes,2012,1,869
WANDSWORTH,E09000032,Property_Crimes,2012,1,1194
WESTMINSTER,E09000033,Property_Crimes,2012,1,3648
BARKING AND DAGENHAM,E09000002,Violent_Crimes,2012,1,385
BARNET,E09000003,Violent_Crimes,2012,1,325
BEXLEY,E09000004,Violent_Crimes,2012,1,206
BRENT,E09000005,Violent_Crimes,2012,1,627
BROMLEY,E09000006,Violent_Crimes,2012,1,350
CAMDEN,E09000007,Violent_Crimes,2012,1,454
CROYDON,E09000008,Violent_Crimes,2012,1,617
EALING,E09000009,Violent_Crimes,2012,1,552
ENFIELD,E09000010,Violent_Crimes,2012,1,351
