Code,Borough_Name,quarterly_month,Unemployment.rate.aged.16...64,Unemployment.rate.aged.16,Unemployment.rate.ethnic.minority,Ethnic.minority.aged.16.64.who.are.economically.inactive,Year,Month,Q_Month
E09000002,BARKING AND DAGENHAM,Jan-Mar ,14.4,14.1,12.9,28.3,2012,1,Q1
E09000002,BARKING AND DAGENHAM,Apr-Jun ,13.8,13.7,12.7,26.8,2012,4,Q2
E09000002,BARKING AND DAGENHAM,Jul-Sep ,15,15,12.7,24.7,2012,7,Q3
E09000002,BARKING AND DAGENHAM,Oct-Dec ,15.7,15.7,15.2,21.1,2012,10,Q4
E09000002,BARKING AND DAGENHAM,Jan-Mar ,14.1,14,15.3,21.4,2013,1,Q1
E09000002,BARKING AND DAGENHAM,Apr-Jun ,13.4,13.2,13.7,25.1,2013,4,Q2
E09000002,BARKING AND DAGENHAM,Jul-Sep ,12.2,12.1,13.2,25.5,2013,7,Q3
E09000002,BARKING AND DAGENHAM,Oct-Dec ,10.1,10,11.5,25.6,2013,10,Q4
E09000002,BARKING AND DAGENHAM,Jan-Mar ,11.5,11.4,14.4,25.7,2014,1,Q1
E09000002,BARKING AND DAGENHAM,Apr-Jun ,11.8,11.9,15.5,25.7,2014,4,Q2
E09000002,BARKING AND DAGENHAM,Jul-Sep ,11.3,11.5,15.5,26.4,2014,7,Q3
E09000002,BARKING AND DAGENHAM,Oct-Dec ,12.9,13,17.1,27,2014,10,Q4
E09000002,BARKING AND DAGENHAM,Jan-Mar ,10.8,10.9,14.4,27.4,2015,1,Q1
E09000002,BARKING AND DAGENHAM,Apr-Jun ,9.7,9.6,13.4,26,2015,4,Q2
E09000002,BARKING AND DAGENHAM,Jul-Sep ,10.4,10.2,13.1,25.2,2015,7,Q3
E09000002,BARKING AND DAGENHAM,Oct-Dec ,8.1,8.1,9,26.9,2015,10,Q4
E09000002,BARKING AND DAGENHAM,Jan-Mar ,7.4,7.4,6.5,27.3,2016,1,Q1
E09000002,BARKING AND DAGENHAM,Apr-Jun ,9.2,9.2,7.4,28,2016,4,Q2
E09000002,BARKING AND DAGENHAM,Jul-Sep ,9.6,9.6,5.9,28.2,2016,7,Q3
E09000002,BARKING AND DAGENHAM,Oct-Dec ,9.3,9.1,7.5,27.3,2016,10,Q4
E09000002,BARKING AND DAGENHAM,Jan-Mar ,9.5,9.5,9.2,26.9,2017,1,Q1
E09000002,BARKING AND DAGENHAM,Apr-Jun ,8.2,8.3,8.4,26.9,2017,4,Q2
E09000002,BARKING AND DAGENHAM,Jul-Sep ,6.8,6.9,8.1,25.8,2017,7,Q3
E09000002,BARKING AND DAGENHAM,Oct-Dec ,5.3,5.5,6.8,28.7,2017,10,Q4
E09000002,BARKING AND DAGENHAM,Jan-Mar ,5,4.9,6.1,28.1,2018,1,Q1
E09000002,BARKING AND DAGENHAM,Apr-Jun ,5.8,5.7,7.6,26.1,2018,4,Q2
E09000002,BARKING AND DAGENHAM,Jul-Sep ,4.6,4.5,6.3,26.3,2018,7,Q3
E09000002,BARKING AND DAGENHAM,Oct-Dec ,6.3,6.1,6.8,23.3,2018,10,Q4
E09000002,BARKING AND DAGENHAM,Jan-Mar ,6,5.9,6.1,26.8,2019,1,Q1
E09000002,BARKING AND DAGENHAM,Apr-Jun ,5.7,5.6,5.1,27.9,2019,4,Q2
E09000002,BARKING AND DAGENHAM,Jul-Sep ,6.9,6.8,4.6,32.9,2019,7,Q3
E09000002,BARKING AND DAGENHAM,Oct-Dec ,5.9,5.9,4.4,30.6,2019,10,Q4
E09000002,BARKING AND DAGENHAM,Jan-Mar ,9.5,9.4,7.4,25,2020,1,Q1
E09000002,BARKING AND DAGENHAM,Apr-Jun ,9.2,9.1,5.3,28.5,2020,4,Q2
E09000002,BARKING AND DAGENHAM,Jul-Sep ,9.1,8.9,8.6,29.3,2020,7,Q3
E09000002,BARKING AND DAGENHAM,Oct-Dec ,8.4,8.2,7,34.1,2020,10,Q4
E09000002,BARKING AND DAGENHAM,Jan-Mar ,4.1,4,3.1,32.4,2021,1,Q1
E09000002,BARKING AND DAGENHAM,Apr-Jun ,3.1,3,3.4,30.7,2021,4,Q2
E09000002,BARKING AND DAGENHAM,Jul-Sep ,3.1,3,6.2,27.1,2021,7,Q3
E09000002,BARKING AND DAGENHAM,Oct-Dec ,2.1,2,5.6,24.1,2021,10,Q4
E09000003,BARNET,Jan-Mar ,10.3,10,13.3,30.4,2012,1,Q1
E09000003,BARNET,Apr-Jun ,7.4,7.1,9.1,29.9,2012,4,Q2
E09000003,BARNET,Jul-Sep ,6.8,6.6,9.2,27.9,2012,7,Q3
E09000003,BARNET,Oct-Dec ,6,5.7,11,29.7,2012,10,Q4
E09000003,BARNET,Jan-Mar ,5.7,5.5,10.7,26.7,2013,1,Q1
E09000003,BARNET,Apr-Jun ,5.3,5.3,11.4,30,2013,4,Q2
E09000003,BARNET,Jul-Sep ,5.4,5.4,10.2,31.5,2013,7,Q3
E09000003,BARNET,Oct-Dec ,5,5,8.8,33.2,2013,10,Q4
E09000003,BARNET,Jan-Mar ,4.8,4.7,7.6,37.3,2014,1,Q1
E09000003,BARNET,Apr-Jun ,6,5.8,9.9,38.6,2014,4,Q2
E09000003,BARNET,Jul-Sep ,7.5,7.4,13.6,38.4,2014,7,Q3
E09000003,BARNET,Oct-Dec ,7.8,7.6,13.4,37.9,2014,10,Q4
E09000003,BARNET,Jan-Mar ,8.6,8.3,13.6,30,2015,1,Q1
E09000003,BARNET,Apr-Jun ,6.9,6.8,9.5,26.3,2015,4,Q2
E09000003,BARNET,Jul-Sep ,4.4,4.2,5.8,24.2,2015,7,Q3
E09000003,BARNET,Oct-Dec ,4.6,4.4,6.3,25.2,2015,10,Q4
